№,id,название,группа,правило (кратко),код в репозитории,результат в исследовании,вердикт,источник (URL),источник (название),проверка ссылки
11,M_ACCEL,Ускорение моментума,моментум,ROC(n) > 0 и растёт,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 19440 конф., с плюсом 3%, медианный Sharpe -10.8, сделка -11.2 б.п.",отвергнута,https://en.wikipedia.org/wiki/Momentum_(technical_analysis),Wikipedia: Momentum (technical analysis),не проверена вживую (устойчивый адрес/DOI)
12,M_ROC_VOTE,Голосование ROC нескольких горизонтов,моментум,"сумма знаков ROC(b·1,2,4,8) ≥ порог",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 38880 конф., с плюсом 5%, медианный Sharpe -6.9, сделка -11.4 б.п.",отвергнута,https://www.aqr.com/Insights/Research/Journal-Article/A-Century-of-Evidence-on-Trend-Following-Investing,"Hurst, Ooi, Pedersen (2017)","проверена (Firecrawl, 25.09.2026)"
13,R_BB,Возврат от полос Боллинджера,возврат к среднему,"close < SMA − k·σ — лонг, выход на SMA",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 77760 конф., с плюсом 3%, медианный Sharpe -5.4, сделка -11.5 б.п.",отвергнута,https://en.wikipedia.org/wiki/Bollinger_Bands,Wikipedia: Bollinger Bands,не проверена вживую (устойчивый адрес/DOI)
14,R_BB_LIMIT,Боллинджер лимитными заявками,возврат к среднему,"лимит на полосе (вход откатом, без спреда)",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 43740 конф., с плюсом 2%, медианный Sharpe -8.2, сделка -10.4 б.п.",отвергнута,https://en.wikipedia.org/wiki/Bollinger_Bands,Wikipedia: Bollinger Bands,не проверена вживую (устойчивый адрес/DOI)
15,R_RSI,RSI-возврат (в т.ч. RSI(2)),возврат к среднему,"RSI(n) < lo — лонг, выход при RSI > 50",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 77760 конф., с плюсом 4%, медианный Sharpe -8.4, сделка -10.6 б.п.; без издержек +0,8 б.п./сделка",отвергнута (валовое преимущество < издержек),https://chartschool.stockcharts.com/table-of-contents/trading-strategies-and-models/trading-strategies/rsi-2,StockCharts ChartSchool: RSI(2) (L. Connors),"проверена (Firecrawl, 25.09.2026)"
16,R_MA_DEV,Отклонение от MA в ATR,возврат к среднему,close < EMA(n) − k·ATR — лонг,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 43740 конф., с плюсом 4%, медианный Sharpe -5.6, сделка -11.0 б.п.",отвергнута,https://en.wikipedia.org/wiki/Average_true_range,Wikipedia: Average true range,не проверена вживую (устойчивый адрес/DOI)
17,R_VWAP,Отклонение от сессионного VWAP,возврат к среднему,(close − VWAP)/σ < −k — лонг до VWAP,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 15876 конф., с плюсом 4%, медианный Sharpe -3.8, сделка -13.5 б.п.",отвергнута,https://en.wikipedia.org/wiki/Volume-weighted_average_price,Wikipedia: Volume-weighted average price,не проверена вживую (устойчивый адрес/DOI)
18,R_EXTREME,Разворот после экстремального движения,возврат к среднему,ROC(m) < −z·σ — лонг,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 58320 конф., с плюсом 8%, медианный Sharpe -3.7, сделка -11.4 б.п.",отвергнута,https://doi.org/10.1111/j.1540-6261.1990.tb05110.x,"Jegadeesh (1990), Evidence of Predictable Behavior of Security Returns, JF",не проверена вживую (устойчивый адрес/DOI)
19,R_GAP_FADE,Против гэпа открытия,возврат к среднему,гэп > z·σ дня — встречная позиция до закрытия гэпа/конца дня,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 4536 конф., с плюсом 37%, медианный Sharpe -0.4, сделка -8.2 б.п.; без издержек +5,6 б.п.",отвергнута,https://www.sciencedirect.com/science/article/abs/pii/S0304405X19300650,"Lou, Polk, Skouras (2019), A tug of war: overnight vs intraday returns, JFE","проверена (Firecrawl, 25.09.2026)"
20,R_VOLSPIKE_FADE,Против всплеска объёма,возврат к среднему,объём > k·среднего и большой бар — встречная позиция,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 17280 конф., с плюсом 6%, медианный Sharpe -4.2, сделка -11.5 б.п.",отвергнута,https://doi.org/10.1111/0022-1082.00349,"Gervais, Kaniel, Mingelgrin (2001), The High-Volume Return Premium, JF",не проверена вживую (устойчивый адрес/DOI)
21,V_SQUEEZE,Пробой после сжатия (squeeze),волатильность,ширина Боллинджера в нижнем перцентиле + пробой канала,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 38880 конф., с плюсом 15%, медианный Sharpe -4.4, сделка -11.3 б.п.",отвергнута,https://chartschool.stockcharts.com/table-of-contents/trading-strategies-and-models/trading-strategies/bollinger-band-squeeze,StockCharts ChartSchool: Bollinger Band Squeeze,"проверена (Firecrawl, 25.09.2026)"
22,V_NR_BREAK,Пробой узкого диапазона (NR4/NR7),волатильность,бар с минимальным диапазоном за n — стоп-заявки на его high/low,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 14580 конф., с плюсом 7%, медианный Sharpe -5.4, сделка -10.4 б.п.",отвергнута,https://chartschool.stockcharts.com/table-of-contents/trading-strategies-and-models/trading-strategies/narrow-range-day-nr7,StockCharts ChartSchool: Narrow Range Day NR7 (T. Crabel),"проверена (Firecrawl, 25.09.2026)"
23,V_RANGE_EXP,Расширение диапазона,волатильность,диапазон бара > k·ATR и закрытие у края — по направлению (или против),https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 29160 конф., с плюсом 10%, медианный Sharpe -3.2, сделка -11.3 б.п.",отвергнута,https://en.wikipedia.org/wiki/Average_true_range,Wikipedia: Average true range (Wilder),не проверена вживую (устойчивый адрес/DOI)
24,V_REGIME_TREND,Тренд в режиме высокой/низкой волатильности,режимы,EMA-тренд только при vol выше/ниже медианы,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 29160 конф., с плюсом 13%, медианный Sharpe -2.8, сделка -10.9 б.п.",отвергнута,https://doi.org/10.1111/jofi.12513,"Moreira, Muir (2017), Volatility-Managed Portfolios, JF",не проверена вживую (устойчивый адрес/DOI)
25,U_VOL_BREAK,Пробой на повышенном объёме,объём,пробой канала при объёме > k·среднего,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 19440 конф., с плюсом 8%, медианный Sharpe -4.7, сделка -11.8 б.п.",отвергнута,https://doi.org/10.1111/0022-1082.00349,"Gervais, Kaniel, Mingelgrin (2001)",не проверена вживую (устойчивый адрес/DOI)
26,U_SIGNED_VOL,Знаковый объём (прокси order flow),объём / order flow,доля объёма в барах вверх/вниз за n > порог,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 58320 конф., с плюсом 5%, медианный Sharpe -5.7, сделка -11.4 б.п.",отвергнута (стакана и сделок в данных нет),https://doi.org/10.1093/rfs/hhs053,"Easley, López de Prado, O'Hara (2012), Flow Toxicity and Liquidity (bulk volume), RFS",не проверена вживую (устойчивый адрес/DOI)
27,U_OBV,On-Balance Volume,объём,OBV > EMA(OBV) и цена > EMA,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 9720 конф., с плюсом 8%, медианный Sharpe -4.4, сделка -11.6 б.п.",отвергнута,https://en.wikipedia.org/wiki/On-balance_volume,Wikipedia: On-balance volume (J. Granville),не проверена вживую (устойчивый адрес/DOI)
28,U_BAR_PRESSURE,Давление бара (Close Location Value),объём / order flow,средневзвешенная по объёму позиция close в диапазоне,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 19440 конф., с плюсом 5%, медианный Sharpe -7.9, сделка -12.4 б.п.",отвергнута,https://en.wikipedia.org/wiki/Accumulation/distribution_index,Wikipedia: Accumulation/distribution index (Chaikin),не проверена вживую (устойчивый адрес/DOI)
29,I_ORB,Пробой диапазона открытия (ORB),внутридневная,"стоп-заявки на high/low первых 15–60 мин сессии, выход в конце дня",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 9072 конф., с плюсом 7%, медианный Sharpe -3.6, сделка -10.8 б.п.; без издержек +1,9 б.п.",отвергнута,https://tradersmastermind.com/trading-strategy-opening-range-breakout/,Opening Range Breakout (T. Crabel),"проверена (Firecrawl, 25.09.2026)"
30,I_PDAY_BRK,Пробой high/low вчерашнего дня,внутридневная,стоп-заявки на уровнях прошлого дня,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 2016 конф., с плюсом 12%, медианный Sharpe -2.9, сделка -16.1 б.п.",отвергнута,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/price-channels,StockCharts: Price Channels,"проверена (Firecrawl, 25.09.2026)"
31,I_TOD,Сезонность времени дня,сезонность,"вход в заданную минуту МСК, удержание 30–240 мин",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 5544 конф., с плюсом 2%, медианный Sharpe -4.5, сделка -11.9 б.п.",отвергнута,https://ideas.repec.org/a/eee/jfinec/v129y2018i2p394-414.html,"Gao, Han, Li, Zhou (2018), Market Intraday Momentum, JFE","проверена (Firecrawl, 25.09.2026)"
32,I_OVERNIGHT,Ночная позиция,сезонность,"покупка в конце вечерней сессии, продажа утром",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 240 конф., с плюсом 2%, медианный Sharpe -26.1, сделка -11.3 б.п.","отвергнута (валово +8…18 б.п., меньше издержек)",https://www.sciencedirect.com/science/article/abs/pii/S0304405X19300650,"Lou, Polk, Skouras (2019), A tug of war, JFE","проверена (Firecrawl, 25.09.2026)"
33,H_ON,Ночной дрейф акций (точное исполнение),сезонность,"по минуткам: вход по close последней свечи, выход по open утра",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/overnight.py,"SBER гросс +8,5 б.п./ночь (t=5,9), после издержек −0,7 б.п.",отвергнута,https://www.sciencedirect.com/science/article/abs/pii/S0304405X19300650,"Lou, Polk, Skouras (2019)","проверена (Firecrawl, 25.09.2026)"
34,I_DOW,Эффект дня недели,сезонность,удержание в заданный день недели,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 420 конф., с плюсом 29%, медианный Sharpe -0.6, сделка -10.0 б.п.",отвергнута,https://doi.org/10.1016/0304-405X(80)90021-5,"French (1980), Stock Returns and the Weekend Effect, JFE",не проверена вживую (устойчивый адрес/DOI)
35,C_CARRY,Carry: шорт контанго (1 инструмент),carry,постоянный шорт фьючерса (с фильтром EMA),https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/families.py,"Stage 1: 162 конф., с плюсом 0%, медианный Sharpe -0.9, сделка -233.0 б.п.",отвергнута,https://doi.org/10.1016/j.jfineco.2017.11.002,"Koijen, Moskowitz, Pedersen, Vrugt (2018), Carry, JFE",не проверена вживую (устойчивый адрес/DOI)
36,X_LEADLAG,Lead-lag (A → B),межинструментальная,"движение лидера (MX, RI, BR, Si, GD, SR, SBER) → сделка по отстающему",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/xasset.py,"43 тыс. вместе с парами: 5% с плюсом, медианный Sharpe −4,3",отвергнута,https://doi.org/10.1093/rfs/3.2.175,"Lo, MacKinlay (1990), When Are Contrarian Profits Due to Overreaction?, RFS",не проверена вживую (устойчивый адрес/DOI)
37,X_PAIR,Парный трейдинг (спред z-score),межинструментальная,z-score спреда rB − β·rA; две ноги,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/xasset.py,"18 пар: 8% с плюсом, медианный Sharpe −2,2",отвергнута,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=141615,"Gatev, Goetzmann, Rouwenhorst (2006), Pairs Trading, RFS","проверена (Firecrawl, 25.09.2026)"
38,P_TSMOM,Портфельный TSMOM с таргетом волатильности,портфель / тренд,вес = sign(ROC n)·σ*/σ_i,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/panel.py,"дневной, фьючерсы: медианный Sharpe 0,7 (dev)",вошла в C1 (подтверждена слабо),https://ideas.repec.org/a/eee/jfinec/v104y2012i2p228-250.html,"Moskowitz, Ooi, Pedersen (2012)","проверена (Firecrawl, 25.09.2026)"
39,P_EMA,Портфельный EMA-тренд,портфель / тренд,вес = sign(EMA f − EMA s)·σ*/σ_i,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/panel.py,"дневной, фьючерсы: медианный Sharpe 0,5 (dev)",вошла в C1,https://www.aqr.com/Insights/Research/Journal-Article/A-Century-of-Evidence-on-Trend-Following-Investing,"Hurst, Ooi, Pedersen (2017)","проверена (Firecrawl, 25.09.2026)"
40,P_BRK,Портфельный пробой (Дончиан),портфель / тренд,вес по направлению последнего пробоя канала n,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/panel.py,"дневной, фьючерсы: медианный Sharpe 0,7 (dev)",вошла в C1,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/price-channels,StockCharts: Donchian Channels,"проверена (Firecrawl, 25.09.2026)"
41,P_XS_MOM,Кросс-секционный моментум,портфель,лонг top-k / шорт bottom-k по доходности за n дней,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/panel.py,"акции: dev до Sharpe 2,3 до платы за шорт; C3 — год −11,9%",отвергнута (C3),https://doi.org/10.1111/j.1540-6261.1993.tb04702.x,"Jegadeesh, Titman (1993), Returns to Buying Winners and Selling Losers, JF",не проверена вживую (устойчивый адрес/DOI)
42,P_XS_REV,Кросс-секционный краткосрочный разворот,портфель,обратный ранжир (лузеры в лонг),https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/panel.py,"медианный Sharpe −1,7 (акции)",отвергнута,https://doi.org/10.1111/j.1540-6261.1990.tb05110.x,"Jegadeesh (1990), JF",не проверена вживую (устойчивый адрес/DOI)
43,P_CARRY,Carry-портфель Si/CR,портфель / carry,шорт Si и CR с таргетом волатильности,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/panel.py,"C4: год +0,8%, holdout −3,7%",отвергнута,https://doi.org/10.1016/j.jfineco.2017.11.002,"Koijen et al. (2018), Carry, JFE",не проверена вживую (устойчивый адрес/DOI)
44,ML_DAILY,"LightGBM, дневной, панель 21 инструмента",ML,"регрессия доходности следующего дня, ежемесячное переобучение",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/scripts/deep/a07_ml_panel.py,"вне выборки IC ≈ 0, Sharpe −1,3…−2,5",отвергнута,https://github.com/microsoft/LightGBM,"LightGBM (Ke et al., 2017), официальный репозиторий",не проверена вживую (устойчивый адрес/DOI)
45,ML_HOURLY,"LightGBM, часовой классификатор (C10)",ML,"направление на 4–16 свечей, вход при уверенности > порога",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/scripts/deep/a07b_ml_hourly.py,"IC вне выборки 0,05–0,10; holdout −7,3% (0/3 мес.)",отвергнута,https://github.com/microsoft/LightGBM,"LightGBM, официальный репозиторий",не проверена вживую (устойчивый адрес/DOI)
46,C1_TREND_FUT_ENS,Ансамбль дневных трендовых правил на 9 фьючерсах,финальный кандидат,"среднее весов 30 правил (TSMOM/EMA/пробой), таргет 10% годовых",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/candidates.py,"год +8,8%, медиана +0,8%/мес, худший −3,3%, DD −8,1%, WF +13,3%, holdout +0,7%","ЛУЧШИЙ, но статистически не доказан (p≈0,22)",https://www.aqr.com/Insights/Research/Journal-Article/A-Century-of-Evidence-on-Trend-Following-Investing,"Hurst, Ooi, Pedersen (2017); Moskowitz, Ooi, Pedersen (2012)","проверена (Firecrawl, 25.09.2026)"
47,C5_TREND_FUT_LONGONLY,Только лонг-сторона тренда на фьючерсах,финальный кандидат,"как C1, но веса ≥ 0",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/candidates.py,"год +6,3%, holdout +5,4% (3/3), на разработке ≈ 0","режимно-зависим, не рекомендован",https://ideas.repec.org/a/eee/jfinec/v104y2012i2p228-250.html,"Moskowitz, Ooi, Pedersen (2012)","проверена (Firecrawl, 25.09.2026)"
48,C6-C8_WF,Процедуры walk-forward отбора (Sharpe/Sortino/floor),финальный кандидат,ежемесячный выбор лучших из 423 портфелей по прошлому,https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/src/moexlab/deep/wf.py,"WF Sharpe до 2,2, holdout −0,7…−0,9%",отвергнуты holdout'ом,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2460551,"Bailey, López de Prado (2014), The Deflated Sharpe Ratio",не проверена вживую (устойчивый адрес/DOI)
49,C9_META_RP,Мета-стратегия риск-паритета (C1+C3+C4),портфель,"веса обратно прошлой волатильности, лаг 1 день",https://github.com/Masster/invest_strategy/blob/claude/deep-strategy-search/scripts/deep/a08_final_eval.py,"WF Sharpe 1,36, holdout −2,1%",отвергнута,https://www.aqr.com/Insights/Research/Journal-Article/A-Century-of-Evidence-on-Trend-Following-Investing,"Hurst, Ooi, Pedersen (2017)","проверена (Firecrawl, 25.09.2026)"
